bResult,rResult,,gamelength,bBarons,rBarons
1,0,,38,[28.717],[]
0,1,,32,[],"[21.947, 29.817]"
1,0,,28,[25.774],[]
0,1,,32,[],[28.999]
0,1,,33,[],"[30.473, 23.266]"
1,0,,60,"[26.95, 55.445]","[35.813, 43.478]"
0,1,,33,[],[24.064]
1,0,,29,[26.993],[]
1,0,,36,[30.176],[]
0,1,,40,[],[30.265]
1,0,,35,[27.783],[]
0,1,,33,[],[23.992]
1,0,,26,[22.329],[]
1,0,,43,"[27.487, 35.979]",[]
0,1,,32,[],[26.716]
0,1,,26,[],[24.62]
0,1,,41,[],[35.249]
1,0,,33,[26.251],[]
1,0,,39,"[30.272, 22.36, 37.926]",[]
0,1,,42,[],"[35.232, 27.144]"
1,0,,32,[28.017],[]
0,1,,39,[],[32.315]
0,1,,42,[],[38.174]
0,1,,30,[],"[27.897, 20.382]"
0,1,,30,[],[25.834]
1,0,,38,[28.253],[]
1,0,,42,[29.007],[]
0,1,,41,[31.794],[22.981]
1,0,,30,[26.068],[]
0,1,,37,[],"[33.077, 25.62]"
0,1,,34,[],[26.648]
0,1,,43,[29.806],[38.897]
1,0,,35,"[24.398, 32.199]",[]
0,1,,33,[],[28.028]
1,0,,41,[],[31.763]
0,1,,38,[],"[36.124, 27.959]"
1,0,,38,[20.246],[]
0,1,,40,[31.454],[22.675]
1,0,,47,[37.407],[27.633]
1,0,,32,[26.392],[]
0,1,,30,[],[25.179]
1,0,,44,[38.935],[29.724]
0,1,,40,[],[35.179]
1,0,,28,[20.843],[]
0,1,,54,[],"[40.557, 48.004]"
1,0,,56,"[40.656, 50.547]",[]
1,0,,44,[37.373],[]
1,0,,38,"[33.636, 26.172]",[]
1,0,,41,[37.723],[]
1,0,,38,[33.378],[]
1,0,,33,[30.184],[]
0,1,,37,[],[34.232]
1,0,,40,[33.252],[]
0,1,,32,[],[24.937]
1,0,,35,"[32.126, 22.795]",[]
0,1,,35,[],[29.753]
0,1,,41,[],"[29.901, 39.052]"
1,0,,34,[29.944],[]
1,0,,37,[32.825],[]
1,0,,31,[25.625],[]
1,0,,34,[],[27.641]
0,1,,34,[],[25.403]
0,1,,29,[],[23.697]
1,0,,36,"[33.384, 24.119]",[]
0,1,,39,[],[35.697]
0,1,,32,[],[28.982]
0,1,,29,[],[25.604]
0,1,,58,[],"[23.003, 49.693, 41.555]"
1,0,,42,"[32.29, 39.733]",[21.101]
0,1,,45,[],"[35.564, 22.547]"
0,1,,28,[],[20.598]
0,1,,41,[],"[28.794, 36.162]"
1,0,,62,"[41.705, 50.943, 60.15, 33.551]",[]
1,0,,37,[31.631],[]
0,1,,36,[],[29.541]
1,0,,32,[29.539],[]
1,0,,44,[],[34.543]
0,1,,29,[],[23.129]
1,0,,19,[],[]
1,0,,36,[25.914],[]
0,1,,39,[],[29.97]
0,1,,32,[],[29.48]
1,0,,48,[46.29],[31.616]
1,0,,29,[],[]
0,1,,34,[],"[31.446, 23.561]"
0,1,,33,[],[26.13]
0,1,,49,[31.417],"[39.238, 47.025]"
0,1,,42,[29.68],[]
1,0,,27,[24.08],[]
0,1,,29,[27.144],[]
1,0,,35,[29.805],[]
1,0,,33,[28.267],[]
1,0,,30,[],[]
1,0,,31,[25.55],[]
1,0,,32,[29.495],[]
0,1,,31,[],[27.653]
0,1,,20,[],[]
1,0,,42,[36.189],[]
1,0,,31,[25.029],[]
1,0,,20,[],[]
0,1,,33,[],[29.658]
1,0,,39,[37.842],[]
1,0,,41,"[39.483, 31.071]",[]
1,0,,29,[26.823],[]
1,0,,30,[24.498],[]
0,1,,39,[20.577],"[30.275, 37.697]"
0,1,,24,[],[]
1,0,,44,[],"[26.911, 34.667]"
1,0,,32,[28.338],[]
0,1,,43,[30.265],[]
1,0,,30,[25.528],[]
0,1,,32,[],[27.721]
1,0,,27,[23.511],[]
1,0,,34,[31.469],[]
0,1,,29,[],[]
1,0,,30,[24.696],[]
1,0,,33,[29.686],[]
0,1,,46,[],[38.636]
1,0,,28,[25.015],[]
0,1,,33,[],[24.601]
0,1,,47,[26.585],[40.913]
1,0,,26,[22.167],[]
0,1,,58,[],"[40.153, 50.047]"
0,1,,31,[],[24.254]
1,0,,37,"[35.739, 27.101]",[]
0,1,,39,[22.549],[32.873]
0,1,,33,[],[26.578]
0,1,,28,[],[23.408]
0,1,,28,[],[24.323]
0,1,,31,[],[27.055]
0,1,,43,[33.113],[41.847]
1,0,,30,[27.949],[]
1,0,,29,[24.81],[]
1,0,,40,"[27.918, 38.162]",[]
0,1,,41,"[27.077, 34.925]",[]
1,0,,30,[21.403],[]
1,0,,46,[37.782],[29.556]
1,0,,26,[21.637],[]
0,1,,57,[],"[39.817, 48.691, 55.873]"
1,0,,38,"[35.476, 25.689]",[]
0,1,,38,[],"[22.377, 33.661]"
1,0,,30,[23.33],[]
1,0,,68,[],"[48.761, 56.706, 64.296, 38.534]"
1,0,,30,[28.009],[]
1,0,,35,"[22.817, 31.296]",[]
0,1,,30,[],[28.274]
0,1,,49,[35.174],[43.091]
0,1,,41,[33.081],[]
0,1,,38,[],[24.467]
1,0,,25,[21.123],[]
1,0,,29,[21.319],[]
0,1,,35,[],"[21.774, 29.189]"
1,0,,34,[31.974],[]
1,0,,44,[],[38.456]
1,0,,34,[31.682],[20.654]
0,1,,30,[],[25.84]
1,0,,26,[24.485],[]
0,1,,45,[],"[35.486, 28.283]"
0,1,,39,[],"[29.535, 37.022]"
1,0,,33,[30.356],[]
0,1,,39,[],"[29.084, 37.499]"
1,0,,32,[28.243],[]
1,0,,65,"[59.913, 41.356, 51.482]",[31.244]
1,0,,43,[35.144],[]
0,1,,42,[],[33.329]
0,1,,44,[],[34.415]
0,1,,44,[],"[40.957, 31.79]"
1,0,,51,"[47.496, 40.283]",[]
0,1,,35,[],[30.246]
1,0,,57,[26.547],"[43.75, 35.675, 51.563]"
1,0,,32,[],[26.704]
1,0,,41,[34.812],[]
1,0,,30,[],[]
1,0,,34,[30.272],[]
0,1,,29,[],[26.426]
1,0,,48,"[46.466, 39.205]",[26.324]
0,1,,43,[],[34.32]
1,0,,39,"[27.07, 34.886]",[]
0,1,,43,[],"[39.683, 30.041]"
1,0,,32,[26.985],[]
0,1,,33,[],[24.739]
1,0,,34,[29.546],[]
0,1,,27,[],[23.417]
1,0,,43,"[38.272, 31.006]",[]
1,0,,35,[28.854],[]
0,1,,35,[],[27.582]
0,1,,36,[],[33.989]
0,1,,36,[],"[27.369, 34.54]"
0,1,,30,[],"[21.51, 28.872]"
1,0,,28,[24.517],[]
1,0,,27,[25.004],[]
0,1,,32,[23.38],[]
0,1,,32,[],[27.599]
0,1,,58,[56.4],"[38.767, 28.58, 46.762]"
0,1,,30,[25.203],[]
1,0,,27,[22.598],[]
1,0,,27,[20.476],[]
1,0,,44,[],[41.625]
0,1,,44,[],"[35.656, 24.273]"
1,0,,41,"[38.617, 23.22]",[]
1,0,,49,"[41.712, 30.975]",[]
0,1,,33,[],[29.369]
1,0,,34,[29.72],[]
0,1,,30,[],"[20.604, 28.902]"
1,0,,41,[34.95],[26.411]
0,1,,28,[],[24.624]
0,1,,35,[],[28.627]
1,0,,42,[37.852],[]
0,1,,31,[],[26.146]
0,1,,27,[],[22.695]
0,1,,38,[37.081],[]
1,0,,29,[21.743],[]
0,1,,27,[],[21.219]
1,0,,43,[39.37],[29.61]
0,1,,55,[50.253],"[40.727, 22.528]"
1,0,,37,[30.772],[]
1,0,,33,[],[28.937]
1,0,,28,[],[]
0,1,,36,[],[27.311]
1,0,,29,[23.265],[]
0,1,,30,[],[]
1,0,,39,"[26.328, 34.451]",[]
1,0,,25,[22.672],[]
0,1,,29,[],[27.966]
0,1,,41,[28.687],[36.73]
0,1,,37,[],"[33.764, 26.623]"
0,1,,30,[],[24.347]
0,1,,40,[],"[36.914, 29.392]"
0,1,,60,"[34.054, 42.185]",[51.698]
0,1,,37,[],[31.957]
1,0,,44,[],"[42.036, 33.632]"
1,0,,35,"[33.835, 24.833]",[]
0,1,,32,[],[24.497]
1,0,,35,[29.547],[]
1,0,,27,[25.751],[]
0,1,,32,[],[25.231]
1,0,,46,"[42.083, 34.908]",[]
0,1,,37,[],[33.773]
1,0,,33,[27.581],[]
0,1,,39,[],[25.43]
1,0,,24,[],[]
0,1,,28,[],[26.048]
1,0,,27,[21.192],[]
0,1,,36,[],[32.835]
0,1,,30,[],[25.007]
1,0,,38,[],[26.035]
0,1,,47,[35.446],[25.737]
0,1,,32,[],"[30.301, 23.095]"
1,0,,37,[35.237],[]
1,0,,44,[26.297],[36.071]
1,0,,55,[],"[39.47, 31.572, 23.165, 48.545]"
1,0,,41,"[37.457, 28.917]",[]
0,1,,36,[],[31.245]
1,0,,31,"[21.886, 29.08]",[]
1,0,,36,[29.119],[]
0,1,,42,[],"[37.182, 28.909]"
1,0,,45,"[32.872, 43.049]",[]
1,0,,36,[],[22.21]
0,1,,34,[],[25.986]
1,0,,43,[],"[33.481, 40.735]"
1,0,,41,[29.459],[37.303]
0,1,,41,[],"[39.4, 31.563]"
0,1,,25,[],[23.101]
1,0,,26,[22.948],[]
1,0,,28,[25.204],[]
0,1,,28,[],[]
0,1,,28,[],[21.648]
1,0,,33,[29.699],[]
1,0,,35,[27.62],[]
1,0,,39,[32.847],[]
0,1,,28,[],[21.06]
0,1,,31,[],[27.277]
1,0,,25,[],[]
1,0,,42,[],[33.398]
0,1,,31,[],[]
0,1,,42,[],"[29.45, 39.359]"
1,0,,41,[],[]
1,0,,30,[23.801],[]
0,1,,33,[24.377],[]
1,0,,31,[27.13],[]
0,1,,40,[],[34.819]
0,1,,31,[],[24.836]
1,0,,32,[30.292],[]
0,1,,48,[],"[37.162, 44.26, 30.026]"
1,0,,38,"[36.178, 28.948]",[21.563]
0,1,,34,[],[26.418]
0,1,,33,[],[28.604]
0,1,,35,[],[27.044]
0,1,,32,[],[26.997]
1,0,,39,[37.263],[29.195]
0,1,,41,[],"[22.773, 36.312]"
0,1,,28,[],[21.046]
1,0,,25,[21.758],[]
0,1,,37,[],[32.984]
0,1,,38,[],"[32.325, 24.831]"
1,0,,36,[26.765],[]
0,1,,42,[28.802],[38.138]
1,0,,48,[42.289],[34.487]
0,1,,33,[],[31.179]
1,0,,46,"[32.528, 43.168]",[]
1,0,,28,[25.012],[]
1,0,,36,[32.596],[]
1,0,,32,[24.747],[]
0,1,,36,[27.175],[]
1,0,,32,[27.193],[]
1,0,,40,[24.47],[]
1,0,,40,"[38.114, 30.322]",[]
1,0,,32,[27.133],[]
0,1,,38,[],[34.9]
1,0,,29,[],[21.51]
